Category,ID,Yield (kg),Processed (kg),Beer (liters),X Coordinate,Y Coordinate,Lane From,Lane To,Capacity (kg/liters),Repair Cost,Ground Class,convRate,Seed
Field,0,10,,,320,-564,,,,,,,
Field,3,30,,,-531,715,,,,,,,
Field,6,5,,,881,-441,,,,,,,
Field,9,15,,,-104,539,,,,,,,
Brewery,1,,25,,-837,703,,,,,,,
Brewery,4,,20,,-691,-151,,,,,,,
Brewery,7,,15,,842,-241,,,,,,,
Pub,2,,,15,605,-320,,,,,,,
Pub,5,,,20,-210,671,,,,,,,
Pub,8,,,5,-170,225,,,,,,,
Pub,11,,,20,436,234,,,,,,,
Lane,,,,,,,0,1,10,0,,,
Lane,,,,,,,3,1,15,0,,,
Lane,,,,,,,3,4,5,0,,,
Lane,,,,,,,3,7,10,0,,,
Lane,,,,,,,6,4,5,0,,,
Lane,,,,,,,9,4,10,0,,,
Lane,,,,,,,9,7,5,0,,,
Lane,,,,,,,1,2,5,0,,,
Lane,,,,,,,1,5,5,0,,,
Lane,,,,,,,1,8,5,0,,,
Lane,,,,,,,1,11,10,0,,,
Lane,,,,,,,4,2,10,0,,,
Lane,,,,,,,4,5,10,0,,,
Lane,,,,,,,7,5,5,0,,,
Lane,,,,,,,7,11,20,0,,,
